,state_names,district_population,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,lf_prev,oncho_prev,sth_prev,schisto_prev,lf_mda,oncho_mda,sth_mda,schisto_mda,lf_yld,oncho_yld,schisto_yld,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio,OnchoPopReq,OnchoPopTreat,SchPopReq,SchPopTreat,ADMIN1_NAME,LFPopReq,LFPopTreat,normalized_oncho_ivm_total_procured,normalized_OnchoPopTreat,normalized_schisto_pzq_total_procured,normalized_SchPopTreat,normalized_pzq_ratio,normalized_schisto_yld,normalized_oncho_ivm_ratio,normalized_oncho_yld,oncho_coverage,schisto_coverage,lf_coverage,Oncho Drug Procured / Treated,Schisto Drug Procured / Treated,LF Drug Procured / Treated,IVM Ratio * Oncho Coverage,PZQ Ratio * Schisto Coverage,Normalized Oncho Drug Procured / Treated,Normalized Schisto Drug Procured / Treated,Oncho Measure,Schisto Measure,Standardized Oncho Drug Procured / Treated,Standardized Schisto Drug Procured / Treated,Schisto Measure 2,Standardized LF Drug Procured / Treated,standardized_pzq_ratio,standardized_oncho_ivm_ratio
17,Kaduna,8158851.435397267,1631769,345762,1286007,5239951,232760,1455137.1500000001,1619002.5,5239951,14671862.799999999,2288174.8980099997,6406889.714427998,0.782608695652174,0.6956521739130435,1.608695652173913,1.608695652173913,0.782608695652174,0.6956521739130435,0.6086956521739131,0.6086956521739131,32277.71052670155,75414.1318288091,84519.76161087787,15.154791446139251,0.18099434917539328,1.1126116187742165,2.8,2.8,5341918,4738956,3935182,2580662,Kaduna,4660551,4307065,1.8750389000942138,1.8909803421521971,2.226829762069468,3.5029140856206595,1.132292439367172,1.5930441858841626,1.0,1.593044185884162,88.71263093143699,65.57922861001092,92.41536032971209,1.3519622706832473,0.6273593752300767,4.623058579334186,0.8871263093143699,0.2918568468069947,0.9915697473407684,0.6357077871851116,0.6277289788073178,0.7107727766752014,-0.18584535441775452,-0.30332417488004226,,-0.23879635389860737,0.21931005802167475,0.0
18,Kano,12620009.052081145,2524000,1746624,777376,10096005,0,2013838.6199999994,1957207.5,10096005,28268813.999999993,1023116.2208674997,2864725.418428999,1.0,0.4090909090909091,1.3863636363636365,1.5681818181818181,1.0,0.4090909090909091,0.38636363636363635,0.5681818181818182,49926.75773702137,116649.63308503614,130734.1070069482,5.780296732439266,0.0,0.9718790177933923,2.8,2.7999999999999994,9849760,9128367,2162576,1156898,Kano,9849760,9128367,0.8383898954194199,3.642482131708086,2.692008141769749,1.5703390447204515,0.9890704404466291,2.4641007628844593,1.0,2.4641007628844585,92.67603474602427,53.496293309460576,92.67603474602427,0.31382671385024274,1.691771876172316,4.202812945623242,0.9267603474602427,0.20796769998874307,0.2301699404703105,1.7142846640796443,0.4058275599206452,0.4013920434360931,-1.1321494904741929,0.2564826410439973,,-0.35267443380671426,-0.018118664613541998,0.0
19,Katsina,7790373.415774969,1558072,1332898,225174,5475366,47336,1268644.1100000003,1465557.5,5475366,15331024.799999999,0.0,0.0,0.8823529411764706,0.0,1.1176470588235294,1.411764705882353,0.8823529411764706,0.0,0.11764705882352941,0.5294117647058824,30819.953028970907,72008.20512848288,80702.59756224624,4.107865718156979,0.21021965235773224,1.1552156262326396,,2.8,5163633,4760206,3366089,2494260,Katsina,5163633,4760206,0.0,1.8994597060185705,2.015776417284176,3.3856345725244865,1.1756500627443771,1.5210975679768064,,1.521097567976806,92.18714807965632,74.09964501829869,92.18714807965632,0.0,0.5875720654623015,4.370901343345224,,0.34240427129372086,0.0,0.5953910187599246,,0.7728958927388827,0.0,-0.32424952776303173,,-0.3071258725560443,0.29118690105233064,
20,Kebbi,4355594.603091137,871118,768345,102773,3413494,0,1235280.5500000003,1426153.75,3413494,9557783.2,506139.97455531236,1417191.9287548745,0.9523809523809523,0.42857142857142855,1.0952380952380953,1.8571428571428572,0.9523809523809523,0.42857142857142855,0.09523809523809523,0.7619047619047619,17231.423182961018,40259.75815238883,45120.78942015496,4.442657920595566,0.0,1.1545180971237665,2.8,2.8,3330237,3153120,3805191,2843876,Kebbi,3330237,3153120,0.41475507051898397,1.2581859667924613,1.9615791919944405,3.860192965277335,1.1749401951473755,0.8504450305859649,1.0,0.8504450305859645,94.68154969150844,74.73674777429044,94.68154969150844,0.4494570231246748,0.501482395856922,4.113791165575684,0.9468154969150844,0.3451397113023707,0.32964528413580546,0.5081557346067831,1.1758549512729715,1.381559245913672,-1.0085167704539355,-0.3695266959502506,,-0.37679753841174773,0.29001010588073295,0.0
21,Kogi,4409200.52673677,881840,0,1280967,2074504,516030,221467.84999999998,206777.5,1902195,5730317.421590999,2470033.7117899996,6916094.393012,0.5238095238095238,1.0,1.8571428571428572,0.47619047619047616,0.5238095238095238,1.0,0.8571428571428571,0.14285714285714285,17443.496720474323,40755.24997800019,45676.10776653434,inf,0.4028441013702929,0.9336682502674768,2.8000000000000007,3.0124763347559,3441336,3373760,2843863,1821094,Kogi,2023919,1980579,2.024062626584286,1.3462277006031278,0.28440863502454095,2.4718990025967247,0.9501837683663237,0.8609117740570046,1.0000000000000002,0.8609117740570041,98.03634402453001,64.0359257812349,97.85860995425212,2.049966326298255,0.113545758758197,3.9406766514191047,0.9803634402453003,0.23915324311369435,1.5035068923908483,0.11505673764412311,1.1615592098218726,1.1036947071691554,0.45041464117249647,-0.5735543388070135,,-0.4237080757141668,-0.08258371152776403,3.864697707884691e-15
22,Kwara,3188851.0973933283,637770,0,1073543,1403986,462938,520153.09,546347.5,1403986,3931160.7999999993,2224373.940202812,6228247.032567874,0.6875,1.0,1.8125,1.3125,0.6875,1.0,0.8125,0.375,12615.6007925158,29475.280797235584,33034.176035483484,inf,0.4312244595698542,1.0503590394897009,2.8,2.7999999999999994,2488858,2360448,2650826,808684,Kwara,1369743,1350398,1.8227573730764206,0.9418869402189995,0.7514644810197937,1.0976836852001763,1.0689386835142352,0.6226342936351582,1.0,0.622634293635158,94.8406056110875,30.50686842516257,98.58769126763195,2.6385868413825992,0.675600729085774,3.9507958394488134,0.9484060561108749,0.12817266006756975,1.9352188625235727,0.6845910995595738,1.6060792189290576,1.7168002059015972,0.9869669481672062,-0.27795258381556615,,-0.42096598011432307,0.11428428377137113,0.0
23,Lagos,12122195.764008729,2424442,0,3045945,3493789,1627242,486822.6000000001,1217056.5000000002,3493789,9782609.2,0.0,0.0,0.3,0.0,1.75,0.4,0.3,0.0,0.75,0.4,47957.329400695184,112048.2308864437,125577.12372716144,inf,0.5342322333463014,2.5,,2.8,0,0,0,0,Lagos,0,0,0.0,0.0,1.6739798958433356,0.0,2.5442221262587528,2.3669009829278056,,2.366900982927805,,,,,,,,,,,,1.0749170094608709,,,,,2.559960688064834,
24,Nasarawa,2505897.7239975194,501179,139007,362172,0,211267,526402.67,810313.6749999999,0,0.0,1184006.0,3315216.8,0.0,0.5384615384615384,1.3076923076923077,1.7692307692307692,0.0,0.5384615384615384,0.3076923076923077,1.0,9913.72890965918,23162.586401214434,25959.276245014626,0.0,0.5833333333333334,1.5393418787180542,2.8,,0,0,204538,218842,Nasarawa,0,0,0.9702306016361377,0.0,1.1145323173385377,0.29704964242717424,1.5665710670844764,0.48928526658976074,1.0,0.4892852665897606,,106.9933215343848,,,3.7027338216612895,,,0.658797202324099,,3.7520069313390287,2.043797490510676,3.201754015613884,,1.3141085169633968,,,0.9392428939255929,0.0
25,Niger,5312645.733090111,1062532,0,1484879,3336640,448220,1508077.9,1911407.5,3336640,9342592.0,2089576.4287384371,5850814.000467622,0.76,0.84,2.0,2.0,0.76,0.84,1.0,0.92,21017.669271391645,49106.000868798714,55035.142438766576,inf,0.3018562455257297,1.2674461312641743,2.799999999999999,2.8,3948925,3862941,861226,972718,Niger,3255258,3169754,1.712297906952824,1.5414250509803742,2.6290133019824222,1.3203385734113016,1.2898657964013471,1.0373126001588258,0.9999999999999997,1.0373126001588253,97.82259728913564,112.94573085345773,97.37335719626525,1.5146009220610985,1.9650170964246576,4.000068144089415,0.9782259728913562,0.5726105184520788,1.1108538205368932,1.991166019780786,0.9640295508286387,1.2434687443340149,-0.03759339688822425,0.4001905894009727,,-0.4076141806070416,0.4805299904618224,-3.864697707884691e-15
26,Ogun,5013877.335894972,1002774,0,1356327,2743759,508144,964551.08,918126.25,2473633,7415933.859448627,1795400.013970937,5027120.039118622,0.7,0.9,1.9,1.65,0.7,0.9,0.9,0.6,19835.694098102842,46344.416168947006,51940.11933315616,inf,0.37464711680885215,0.9518689772240989,2.7999999999999994,2.9979927739679355,1715100,1052204,4223093,619682,Ogun,1049308,866494,1.4712358178358487,0.41985979188958716,1.2628213105521657,0.8411379740568821,0.9687064452611365,0.9789770290497936,0.9999999999999999,0.9789770290497932,61.34942568946418,14.67365269957351,82.57766070591285,4.7777047408284155,1.4816087122104564,11.725058522561756,0.6134942568946417,0.055869579149138704,3.5041121971087614,1.5013248117445799,1.0214744272096066,0.9895088613073733,2.936862703528142,0.1459514592532314,,1.68570220638513,-0.05187742654315013,-1.9323488539423455e-15
27,Ondo,4627794.721563291,925558,0,1244720,3322211,363509,342403.85000000003,170368.75,3132499,9035838.470743874,1302051.8899312497,3645745.291807499,0.9444444444444444,0.7777777777777778,1.8888888888888888,0.7777777777777778,0.9444444444444444,0.7777777777777778,0.8888888888888888,0.1111111111111111,18308.29003106416,42775.766169058516,47940.58449865168,inf,0.2920407802558005,0.49756668915959906,2.8,2.8845463225188177,3611935,3279754,1794053,653626,Ondo,3241181,3144954,1.0669629955671394,1.3087165909738425,0.23433083211827818,0.887212553262647,0.5063680719396653,0.9035930526528639,1.0,0.9035930526528637,90.80323981466998,36.432925894608466,97.03111304182025,1.111591080247939,0.2606517335601705,3.9294849688561024,0.9080323981466998,0.07251124125510944,0.8152742946226352,0.2641202846561931,1.1066928824475737,0.5603939411143284,-0.4049537841411882,-0.4961868452043019,,-0.4267407956735903,-0.8183267864900162,0.0
28,Osun,4604273.960916048,920854,0,1961396,3318199,707220,496795.31,229112.5,2996086,8930587.64285275,1528309.1930615618,4279265.740572372,0.9,0.9333333333333333,2.3333333333333335,1.0333333333333334,0.9,0.9333333333333333,1.3333333333333333,0.13333333333333333,18215.238170817538,42558.35839319568,47696.926540352964,inf,0.36056971667118726,0.4611808835312878,2.8,2.9807514346559976,1207268,1110835,203487,76834,Osun,1207268,1110835,1.2523689473449957,0.4432552546119094,0.3151289351697363,0.1042921935745858,0.4693386432351453,0.8990005421391781,1.0,0.8990005421391779,92.01229553007286,37.75867745851087,92.01229553007286,3.8522964621859885,2.9819155582164147,11.026648100620479,0.9201229553007286,0.06965432092515585,2.8253899628138712,3.0215965775460276,1.1123463814832562,0.5220671414928746,2.0933142132984917,0.9350083311221296,,1.4964470863826491,-0.879712956376554,0.0
29,Oyo,7520065.55587853,1504014,0,4412777,1989015,2294283,693760.8000000002,261898.75,1918883,5498845.885040375,1259846.9977934372,3527571.593821624,0.30303030303030304,0.8484848484848485,2.3636363636363638,0.9696969696969697,0.30303030303030304,0.8484848484848485,1.3636363636363635,0.12121212121212122,29750.572255964515,69509.68769107097,77902.40490511875,inf,0.5199181830398409,0.3775058348641202,2.8,2.8656493830214638,4573409,1608554,0,0,Oyo,1084278,730666,1.0323783077438866,0.6418595136334427,0.3602242313701128,0.0,0.384183479141231,1.4683190159935462,1.0,1.4683190159935458,35.171881631404496,,67.38733055544796,2.1930078777719766,,10.247994138279838,0.35171881631404495,,1.6084178637468383,,0.6810509086292428,0.26164850754947905,0.5808030195461764,,,1.2854475874439353,-1.0208803886774191,0.0
30,Plateau,4275014.244297596,855003,855003,0,0,0,719290.0,748666.25,0,0.0,996009.0,2788825.2,0.0,0.35294117647058826,1.0,1.5294117647058822,0.0,0.35294117647058826,0.0,0.5294117647058824,16912.634501015982,39514.935446768264,44286.03556176245,0.0,,1.0408406206119925,2.8000000000000003,,0,0,600172,636528,Plateau,0,0,0.8161769545973652,0.0,1.0297404033390565,0.8640042349954962,1.0592518947479692,0.8347114346148967,1.0000000000000002,0.8347114346148965,,106.05759682224429,,,1.1761717473543976,,,0.4415562195883249,,1.1918233286720223,1.198018810490312,1.2690036949555707,,-0.014687103907397697,,,0.09822584372343102,1.9323488539423455e-15
