"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_start_APOC","LF_MDA_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","MDA_left","Mapping_gap","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Osun",483,"Boripe (Ela)",2192,36943,"Endemic",2009,7,2017,2017,"Annual",146280,147678,100.9557014,1,1,1,1,1,0,"ANGA0380436943"
"AFRO","Nigeria","NG",34,"Osun",483,"Ede North",2193,36944,"Endemic",2016,1,2017,2017,"Annual",87995,77121,87.64247969,1,1,1,1,4,0,"ANGA0380436944"
"AFRO","Nigeria","NG",34,"Osun",483,"Ede South",2194,36945,"Endemic",2016,1,2017,2017,"Annual",0,0,0,0,0,0,0,4,0,"ANGA0380436945"
"AFRO","Nigeria","NG",34,"Osun",483,"Egbedore",2195,36946,"Endemic",2016,1,2017,2017,"Annual",78132,70827,90.65043772,1,1,1,1,4,0,"ANGA0380436946"
"AFRO","Nigeria","NG",34,"Osun",483,"Ejigbo",2196,36947,"Endemic",2016,1,2017,2017,"Annual",139229,145630,104.5974617,1,1,1,1,4,0,"ANGA0380436947"
"AFRO","Nigeria","NG",34,"Osun",483,"Ife East",2198,36949,"Endemic",2014,3,2017,2017,"Annual",0,0,0,0,0,0,0,3,0,"ANGA0380436949"
"AFRO","Nigeria","NG",34,"Osun",483,"Ife North",2199,36950,"Endemic",null,null,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0380436950"
"AFRO","Nigeria","NG",34,"Osun",483,"Ife South",2200,36951,"Endemic",2016,1,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0380436951"
"AFRO","Nigeria","NG",34,"Osun",483,"Ife Central",2197,36948,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0380436948"
"AFRO","Nigeria","NG",34,"Osun",483,"Ifedayo",2201,36952,"Endemic",2016,1,2017,2017,"Annual",0,0,0,0,0,0,0,4,0,"ANGA0380436952"
"AFRO","Nigeria","NG",34,"Osun",483,"Ifelodun (Osun)",2202,36953,"Endemic",null,null,2017,2017,"Annual",101554,93055,91.63105343,1,1,1,1,4,0,"ANGA0380436953"
"AFRO","Nigeria","NG",34,"Osun",483,"Ilesha East",2204,36955,"Endemic",2016,1,2017,2017,"Annual",0,0,0,0,0,0,0,5,0,"ANGA0380436955"
