district_names,total_treatment_alb_mbd,total_target_alb,total_target_mbd,lf_alb_total_procured,sac_alb_total_procured,sth_mbd_total_procured,pzq_total_treatment,pzq_total_procured,ivm_total_treatment,ivm_total_procured
Jakusko,27842.0,0.0,0.0,0.0,0.0,0.0,33967.3,48772.75,70541.59116374998,197912.45525849995
Jalingo,37615.0,0.0,37615.0,151214.0,0.0,0.0,17378.13,0.0,150461.0,422133.8
Jama'are,31707.0,0.0,0.0,0.0,0.0,0.0,14648.37,0.0,0.0,0.0
Jeba,41793.0,0.0,0.0,168008.0,0.0,0.0,19308.3,0.0,291208.77909499995,469018.6
Jega,52007.0,0.0,0.0,209070.0,0.0,0.0,63448.8,91104.5,208029.0,583646.2
Jema'a,74974.0,0.0,0.0,301394.0,0.0,0.0,91467.70000000001,131335.75,555203.272450625,841383.2
Jere,0.0,0.0,0.0,0.0,0.0,0.0,69307.3,99516.25,0.0,0.0
Jibia,45658.0,0.0,0.0,183548.0,0.0,0.0,21094.260000000002,0.0,182634.0,512398.19999999995
Jos East,23025.0,0.0,0.0,0.0,0.0,0.0,10637.550000000001,0.0,92100.0,258395.99999999997
Jos North,115472.0,0.0,0.0,0.0,0.0,0.0,53348.130000000005,0.0,0.0,0.0
Jos South,82500.0,0.0,0.0,0.0,0.0,0.0,100649.8,144520.0,0.0,0.0
Kabba/Bunu,39122.0,0.0,0.0,157270.0,0.0,0.0,0.0,0.0,235166.78284374997,439040.6
Kabo,41376.0,0.0,41376.0,166333.0,0.0,0.0,50479.100000000006,72481.75,198333.2784175,464340.99999999994
Kacha,65704.0,0.0,0.0,264132.0,0.0,0.0,80159.20000000001,115097.5,498714.1774309374,737359.5999999999
Kaduna North,96212.0,0.0,0.0,386772.0,0.0,0.0,44449.68,0.0,384847.0,1079727.5999999999
Kaduna South,108234.0,0.0,108234.0,435101.0,0.0,0.0,50004.240000000005,0.0,432936.0,1214645.7999999998
Kafin Hausa,72909.0,0.0,0.0,293093.0,0.0,0.0,33683.76,0.0,325968.762250625,818209.1999999998
Kafur,54571.0,0.0,0.0,0.0,0.0,0.0,66577.0,95596.0,0.0,0.0
Kaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kagarko,64808.0,0.0,0.0,260531.0,0.0,0.0,29941.56,0.0,518468.0,727307.2
Kaima,33397.0,0.0,33397.0,134257.0,0.0,0.0,40744.600000000006,58504.0,267178.0,374798.19999999995
Kaita,49600.0,0.0,0.0,199391.0,0.0,0.0,60511.8,86887.0,198399.0,556629.2
Kajeru,29821.0,0.0,71570.0,0.0,0.0,42028.0,13777.17,0.0,68303.94167187499,191634.03668124994
Kajola,54064.0,0.0,54064.0,217337.0,0.0,0.0,0.0,0.0,248511.061815,606726.0
Kala Balge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65412.0,183520.59999999998
Kalgo,22972.0,0.0,0.0,92346.0,0.0,0.0,10612.800000000001,0.0,91886.0,257795.8
Kaltungo,40294.0,0.0,0.0,161983.0,0.0,0.0,18615.96,46586.899999999994,322354.0,452198.6
Kanem,44623.0,0.0,0.0,0.0,0.0,0.0,54439.8,78169.0,0.0,0.0
Kankara,66098.0,0.0,0.0,265716.0,0.0,0.0,80640.20000000001,115788.5,264394.0,741784.2
Kanke,32660.0,0.0,0.0,0.0,0.0,0.0,15088.92,0.0,130641.0,366526.8
Kankia,40732.0,0.0,0.0,163744.0,0.0,0.0,49693.3,71353.25,162929.0,457114.19999999995
Kano Municipal,98318.0,0.0,0.0,395239.0,0.0,0.0,45422.85,0.0,393272.0,1103364.5999999999
Karasuwa,61618.0,0.0,0.0,247706.0,0.0,0.0,75174.4,107940.5,271597.54749125,691505.3999999999
Karaye,38035.0,0.0,38035.0,152902.0,0.0,0.0,46402.9,66628.25,198758.99209749998,426846.79999999993
Karim-Lamido,52678.0,0.0,0.0,211765.0,0.0,0.0,24337.170000000002,0.0,421422.0,591170.7999999999
Karu,55269.0,0.0,0.0,0.0,0.0,0.0,67427.8,96817.0,221075.0,620249.0
Katagun,79606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katcha,32863.0,0.0,78871.0,0.0,0.0,46315.0,40092.600000000006,57568.0,67102.11019656248,188261.90855037494
Katsina,85658.0,0.0,0.0,344348.0,0.0,0.0,104503.4,150052.5,342634.0,961294.2
Katsina-Ala,60444.0,0.0,0.0,242986.0,0.0,0.0,73742.0,105883.5,475599.00919656234,678329.6
Kaugama,34417.0,0.0,0.0,138358.0,0.0,0.0,41989.0,60291.0,176491.42393875,386244.19999999995
Kaura,45728.0,0.0,0.0,0.0,0.0,0.0,55788.8,80106.0,102284.60074718745,286969.88209212484
Kauran Namoda,75681.0,0.0,0.0,304240.0,0.0,0.0,92331.4,132575.5,302726.0,849328.7999999999
Kauru,59869.0,0.0,59869.0,240673.0,0.0,0.0,73039.8,104875.0,478950.0,671872.0
Kazaure,43438.0,0.0,0.0,174623.0,0.0,0.0,52995.0,76094.5,192732.51731624999,487485.2
Keana,21317.0,0.0,0.0,0.0,0.0,0.0,26007.0,37343.0,0.0,0.0
Kebbe,33530.0,0.0,33530.0,134792.0,0.0,0.0,134121.0,117473.0,134121.0,376290.8
Keffi,24925.0,0.0,0.0,0.0,0.0,0.0,30407.800000000003,43661.5,0.0,0.0
Khana,79138.0,0.0,269069.0,318134.0,0.0,111532.0,0.0,0.0,316551.0,888115.7999999999
Kibiya,36779.0,0.0,0.0,147852.0,0.0,0.0,44870.5,64428.75,147116.0,412748.8
Kirfi,39704.0,0.0,0.0,0.0,0.0,0.0,18343.38,0.0,105819.45114812495,296887.4632147498
Kiri Kasama,51515.0,0.0,0.0,207093.0,0.0,0.0,62849.0,90243.5,248028.08305125,578127.5999999999
Kiru,71220.0,0.0,71220.0,286306.0,0.0,0.0,86888.6,124760.0,325601.0990603125,799262.7999999999
Kiyawa,46510.0,0.0,0.0,186970.0,0.0,0.0,21487.620000000003,0.0,186039.0,521951.19999999995
Kogi,31175.0,0.0,74819.0,0.0,0.0,43935.0,38032.8,54610.0,124698.0,349853.39999999997
Koko/Besse,41585.0,0.0,0.0,167173.0,0.0,0.0,50733.9,72846.75,166341.0,466686.8
Kokona,29520.0,0.0,70848.0,0.0,0.0,41604.0,36014.4,51712.0,118080.0,331286.0
Kolokuma/Opokuma,20790.0,0.0,0.0,83576.0,0.0,0.0,0.0,0.0,83160.0,233313.99999999997
Konduga,0.0,0.0,0.0,0.0,0.0,0.0,51376.9,73770.25,0.0,0.0
Konshisha,60701.0,0.0,60701.0,244018.0,0.0,0.0,28043.73,0.0,429275.85144031246,681208.3999999999
Kontogora,40870.0,0.0,40870.0,164296.0,0.0,0.0,49860.7,71593.25,288959.44940625,458654.4
Kosofe,178976.0,0.0,178976.0,719483.0,0.0,0.0,0.0,0.0,715903.0,2008538.4
Kubau,75864.0,0.0,75864.0,304973.0,0.0,0.0,35048.97,0.0,373819.98110125,851374.0
Kudan,37386.0,0.0,89726.0,0.0,0.0,52689.0,45610.600000000006,65491.0,0.0,0.0
Kuje,26190.0,0.0,0.0,105282.0,0.0,0.0,31951.1,45877.25,188603.88980207604,293909.39999999997
Kukawa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kumbosto,79612.0,0.0,0.0,320040.0,0.0,0.0,36780.48,0.0,318447.0,893435.6
Kunchi,29861.0,0.0,29861.0,120044.0,0.0,0.0,36431.0,52310.5,119446.0,335117.8
Kura,38894.0,0.0,38894.0,156356.0,0.0,0.0,47451.2,68134.0,242080.72556218746,436490.39999999997
Kurfi,31627.0,0.0,0.0,127139.0,0.0,0.0,14611.41,0.0,126506.0,354925.8
Kurmi,24620.0,0.0,24620.0,98972.0,0.0,0.0,30036.2,43129.0,196958.0,552585.3999999999
Kusada,26701.0,0.0,0.0,107338.0,0.0,0.0,32574.9,46773.25,106803.0,299647.39999999997
Kwali,23088.0,0.0,0.0,0.0,0.0,0.0,28167.800000000003,40446.0,67707.52197384665,189961.06152677062
Kwami,52531.0,0.0,0.0,211174.0,0.0,0.0,24269.190000000002,60733.975000000006,377385.0918918749,589521.3999999999
Kwande,66894.0,0.0,66894.0,268914.0,0.0,0.0,81610.8,117183.0,535152.0,750711.7999999999
Kware,36016.0,0.0,0.0,144784.0,0.0,0.0,16639.260000000002,0.0,144063.0,404183.39999999997
Kwaya Kusar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60789.0,170550.19999999998
Lafia,88954.0,0.0,0.0,0.0,0.0,0.0,108524.20000000001,155826.0,355817.0,998280.6
