,state_names,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,lf_prev,oncho_prev,sth_prev,schisto_prev,lf_mda,oncho_mda,sth_mda,schisto_mda,state,population,lf_yld,oncho_yld,schisto_yld,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio,OnchoPopReq,OnchoPopTreat,SchPopReq,SchPopTreat
24,Nasarawa,501179,139007,362172,0,211267,526402.67,810313.6749999999,0,0.0,1184006.0,3315216.8,0,7,17,23,0,7,4,13,Nasarawa,2523295,9982.555293275498,23323.393406502106,26139.499360002224,0.0,0.5833333333333334,1.5393418787180542,2.8,0.0,0,0,204538,218842
25,Niger,1062532,0,1484879,3336640,448220,1508077.9,1911407.5,3336640,9342592.0,2089576.4287384371,5850814.000467622,19,21,50,50,19,21,25,23,Niger,5556247,21981.394526044758,51357.66315262271,57558.674233696125,0.0,0.3018562455257297,1.2674461312641743,2.799999999999999,2.8,3948925,3862941,861226,972718
26,Ogun,1002774,0,1356327,2743759,508144,964551.08,918126.25,2473633,7415933.859448627,1795400.013970937,5027120.039118622,14,18,38,33,14,18,18,12,Ogun,5217716,20642.112188471132,48228.54361119114,54051.73950833072,0.0,0.37464711680885215,0.9518689772240989,2.7999999999999994,2.9979927739679355,1715100,1052204,4223093,619682
27,Ondo,925558,0,1244720,3322211,363509,342403.85000000003,170368.75,3132499,9035838.470743874,1302051.8899312497,3645745.291807499,17,14,34,14,17,14,16,2,Ondo,4671695,18481.966496512963,43181.54649384589,48395.359425919516,0.0,0.2920407802558005,0.49756668915959906,2.8,2.8845463225188177,3611935,3279754,1794053,653626
28,Osun,920854,0,1961396,3318199,707220,496795.31,229112.5,2996086,8930587.64285275,1528309.1930615618,4279265.740572372,27,28,70,31,27,28,40,4,Osun,4705589,18616.056537158343,43494.836496053314,48746.47659268278,0.0,0.36056971667118726,0.4611808835312878,2.8,2.9807514346559976,1207268,1110835,203487,76834
29,Oyo,1504014,0,4412777,1989015,2294283,693760.8000000002,261898.75,1918883,5498845.885040375,1259846.9977934372,3527571.593821624,10,28,78,32,10,28,45,4,Oyo,7840864,31019.701789546325,72474.90115855646,81225.64326004866,0.0,0.5199181830398409,0.3775058348641202,2.8,2.8656493830214638,4573409,1608554,0,0
30,Plateau,855003,855003,0,0,0,719290.0,748666.25,0,0.0,996009.0,2788825.2,0,6,17,26,0,6,0,9,Plateau,4200442,16617.614873091225,38825.64711902275,43513.521395923366,0.0,0.0,1.0408406206119925,2.8000000000000003,0.0,0,0,600172,636528
31,Rivers,1394758,0,3333820,3149559,1619214,0.0,0.0,2232095,6249865.999999999,0.0,0.0,13,0,53,0,13,0,30,0,Rivers,7303924,28895.48197411795,67511.84180335335,75663.33572709686,0.0,0.48569328877983814,0.0,0.0,2.7999999999999994,0,0,0,0
32,Sokoto,994410,787569,206841,3376672,0,1062223.78,1235176.25,3376672,9454681.600000001,196134.0,549175.2,20,1,28,39,20,1,5,15,Sokoto,4998090,19773.236892938534,46198.49020867719,51776.574025721726,4.287461796998104,0.0,1.1628211241891044,2.8,2.8000000000000003,3294314,3088193,4425271,2725628
33,Taraba,613402,148546,464856,1967497,170135,351953.2100000001,158291.25,1967497,5508991.6,1779925.0,4983789.999999999,13,13,24,18,13,16,8,2,Taraba,3066834,12132.881799511064,28347.44882958056,31770.167729192606,13.245035207949053,0.36599506083604383,0.44975083477715677,2.7999999999999994,2.8,2393753,2244743,1043261,519708
34,Yobe,569081,569081,0,1434207,0,569652.9800000001,649103.75,1434207,4015779.6000000006,646274.7166968748,1809569.2067512497,11,12,15,26,11,12,0,9,Yobe,3294137,13032.128524855267,30448.46250078355,34124.861343306926,2.5202159270824365,0.0,1.1394722274603037,2.8000000000000003,2.8000000000000003,2271794,1620425,0,0
35,Zamfara,876826,828781,48045,3507304,0,1069727.3,1534443.75,3507304,9820451.2,238508.35720499992,667823.4001739997,14,6,15,28,14,6,1,14,Zamfara,4515427,17863.745499534976,41737.12559147527,46776.536701668556,4.2318827289718275,0.0,1.4344251567665889,2.8,2.8,3421764,3024219,0,0
