,state_names,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,state,population,lf_yld,oncho_yld,schisto_yld,WHO_region,Country,ISO2,Country_ID,ADMIN1_NAME,ADMIN1_ID,IU_Name,District_ID,IU_ID,Endemicity,MDA_start_APOC,LF_MDA_duration,start_year,end_year,Period,PopReq,PopTreat,Cov,MDA,EffMDA,MDA_n,EffMDA_n,MDA_left,Mapping_gap,Composite_IU_ID,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio
21,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Fufore,1604,36355,Endemic,2012.0,4.0,2017,2017,Annual,217583,177334,81.50177174,1,1,1,1,4,0,ANGA0377636355,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
22,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Guyuk,1608,36359,Endemic,2015.0,1.0,2017,2017,Annual,186615,152613,81.77959971,1,1,1,1,4,0,ANGA0377636359,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
23,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Ganye,1605,36356,Endemic,2015.0,1.0,2017,2017,Annual,172237,140187,81.39191927,1,1,1,1,4,0,ANGA0377636356,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
24,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Girie-Gerfi,1606,36357,Endemic,2012.0,4.0,2017,2017,Annual,136452,142140,104.1684988,1,1,1,1,3,0,ANGA0377636357,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
25,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Gombi,1607,36358,Endemic,2012.0,4.0,2017,2017,Annual,153703,144422,93.96173139,1,1,1,1,3,0,ANGA0377636358,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
26,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Hong,1609,36360,Non-endemic,,,2017,2017,Annual,0,0,0.0,999,999,999,999,999,0,ANGA0377636360,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
27,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Jada,1610,36361,Endemic,2015.0,1.0,2017,2017,Annual,176841,145283,82.15459085,1,1,1,1,2,0,ANGA0377636361,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
28,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Maiha,1613,36364,Endemic,2015.0,1.0,2017,2017,Annual,116739,100551,86.13316886,1,1,1,1,3,0,ANGA0377636364,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
29,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Mayo Belwa,1614,36365,Endemic,2015.0,1.0,2017,2017,Annual,160735,133409,82.99934675,1,1,1,1,3,0,ANGA0377636365,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
30,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,581620.7351079998,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,AFRO,Nigeria,NG,34,Adamawa,455,Lamurde,1611,36362,Endemic,2015.0,1.0,2017,2017,Annual,118406,103888,87.73879702,1,1,1,1,2,0,ANGA0377636362,3.6177484820277637,0.0,1.1853430362873267,0.35421755489340323,2.8
