"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_status","MDA_start_APOC","IVM_APOC_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Wamakko",2310,37061,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380837061"
"AFRO","Nigeria","NG",34,"Rivers",486,"Tai",2289,37040,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380737040"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Bodinga",2291,37042,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",184118,171606,93.204358074713,1,1,1,1,"ANGA0380837042"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Binji",2290,37041,"Unknown (under LF MDA)","PC Not yet required",null,1,2017,2017,"Annual",110244,99695,90.4312252821015,1,1,1,1,"ANGA0380837041"
"AFRO","Nigeria","NG",34,"Anambra",457,"Anaocha",1658,36409,"Endemic (under MDA)","Under PC (Endemic)","1998",15,2017,2017,"Annual",299157,229963,76.8703389858837,1,1,1,1,"ANGA0377836409"
"AFRO","Nigeria","NG",34,"Anambra",457,"Awka North",1659,36410,"Endemic (under MDA)","Under PC (Endemic)","1998",15,2017,2017,"Annual",118201,85834,72.6169829358466,1,1,1,1,"ANGA0377836410"
"AFRO","Nigeria","NG",34,"Anambra",457,"Awka South",1660,36411,"Endemic (under MDA)","Under PC (Endemic)","1998",15,2017,2017,"Annual",198439,129907,65.4644500325037,1,1,1,1,"ANGA0377836411"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Nsit-Ubium",1644,36395,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0377736395"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Dange Shuni",2292,37043,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",204209,180418,88.3496809641103,1,1,1,1,"ANGA0380837043"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Obot-Akara",1645,36396,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0377736396"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Okobo",1646,36397,"Unknown (under LF MDA)","PC Not yet required",null,5,2017,2017,"Annual",109226,98571,90.2449966125282,1,1,1,1,"ANGA0377736397"
"AFRO","Nigeria","NG",34,"Akwa Ibom",456,"Onna",1647,36398,"Unknown (under LF MDA)","PC Not yet required",null,5,2017,2017,"Annual",129501,126213,97.4610234670002,1,1,1,1,"ANGA0377736398"
